1,33E-05
1,1433333333333333E-05
1,4333333333333334E-05
1,4433333333333335E-05
7,966666666666668E-06
1,8633333333333333E-05
2,4333333333333333E-05
2,706666666666667E-05
1,3299999999999998E-05
7,756666666666668E-05
1,0233333333333334E-05
1,1333333333333334E-05
1,2866666666666668E-05
3,1899999999999996E-05
1,4866666666666666E-05
2,3733333333333332E-05
2,0266666666666663E-05
2,3566666666666666E-05
2,4799999999999996E-05
2,7766666666666663E-05
2,3833333333333334E-05
2,606666666666667E-05
2,9466666666666663E-05
4,033333333333333E-05
4,5533333333333327E-05
4,39E-05
4,603333333333333E-05
4,8599999999999995E-05
5,113333333333333E-05
4,13E-05
4,289999999999999E-05
4,323333333333334E-05
3,063333333333333E-05
7,493333333333333E-05
6,233333333333334E-05
3,426666666666667E-05
3,603333333333333E-05
4,2900000000000006E-05
4,5066666666666667E-05
3,9966666666666665E-05
4,16E-05
4,513333333333333E-05
4,4800000000000005E-05
4,9266666666666674E-05
4,886666666666667E-05
5,023333333333333E-05
5,2766666666666664E-05
5,626666666666666E-05
5,583333333333333E-05
5,9E-05
6,0333333333333334E-05
6,31E-05
6,463333333333334E-05
0,00010116666666666667
6,913333333333334E-05
7,06E-05
8,029999999999999E-05
7,583333333333334E-05
8,036666666666666E-05
0,00019916666666666664
8,293333333333332E-05
8,476666666666666E-05
8,803333333333334E-05
9,13E-05
0,00010593333333333334
9,490000000000002E-05
9,743333333333333E-05
0,00010723333333333334
0,00010303333333333332
0,00012160000000000001
0,00010923333333333334
0,00011433333333333333
0,00011433333333333333
0,0001886
0,0001209
0,00012453333333333332
0,00013223333333333334
0,00012703333333333332
0,00028946666666666664
0,0001349
